MGI	HMD	PhenoGeno
MGI:1919223	NA	MP:0003795,MP:0010124,MP:0001303,MP:0003961,MP:0010024,MP:0000063,MP:0001926,MP:0002075,MP:0000579
MGI:1926967	NA	MP:0003890,MP:0005621,MP:0009593,MP:0002399,MP:0001672,MP:0001719,MP:0001718,MP:0004556,MP:0011097,MP:0002086,MP:0012113,MP:0001698,MP:0003984,MP:0006386
MGI:1923605	NA	MP:0001402,MP:0002151,MP:0001289,MP:0000269,MP:0002135,MP:0000266,MP:0003425,MP:0001364,MP:0011100,MP:0002699,MP:0001711,MP:0002639,MP:0002989,MP:0001304,MP:0004924,MP:0002092,MP:0001700,MP:0002792,MP:0001146,MP:0000111,MP:0001691,MP:0001148,MP:0013294,MP:0002968,MP:0020870
MGI:3038462	NA	MP:0002074
MGI:1919134	NA	MP:0002411
MGI:1339977	NA	MP:0006094,MP:0001762,MP:0001552,MP:0002970,MP:0020421,MP:0009350,MP:0001554,MP:0002079,MP:0009642,MP:0005331,MP:0002446,MP:0002606,MP:0002590,MP:0002965,MP:0010127,MP:0004875,MP:0000219,MP:0009288,MP:0006144
MGI:2386621	NA	MP:0005278,MP:0020420
MGI:99948	NA	MP:0020467,MP:0002161,MP:0020473,MP:0001402,MP:0011091,MP:0005136,MP:0002083,MP:0001431,MP:0002169,MP:0001262,MP:0005134,MP:0020470,MP:0020472,MP:0001265,MP:0011086,MP:0020474,MP:0020476
MGI:1914125	NA	MP:0000218,MP:0010124,MP:0005293,MP:0003961,MP:0010024
MGI:3608347	NA	MP:0011110,MP:0002102
MGI:3812318	NA	MP:0000231
MGI:1919292	NA	MP:0000218,MP:0001303,MP:0002075,MP:0010068
MGI:1920407	NA	MP:0003795,MP:0010025
