type	DRC150
none	0.00282678
none	0.00315695
none	0.00191014
none	0.0017626
none	0.00251715
none	0.00247185
none	0.00240235
none	0.00166828
none	0.00123431
none	0.00204005
none	0.00166244
none	0.00211341
none	0.00204364
none	0.00142926
none	0.0016179
none	0.00128085
none	0.00134447
none	0.00194102
none	0.0017246
none	0.0023835
none	0.00231292
none	0.00259888
none	0.0027284
none	0.00162079
none	0.00161815
none	0.00170719
none	0.00183045
none	0.00158385
none	0.00166981
none	0.00102569
none	0.00124726
none	0.00152622
none	0.0015992
none	0.00154436
none	0.00179303
none	0.00186872
none	0.00280909
none	0.00250804
none	0.00218319
none	0.00182789
none	0.00175206
none	0.00148168
none	0.00131454
none	0.00185657
none	0.00267647
none	0.00235691
none	0.00193162
none	0.00195133
none	0.0019458
none	0.00187323
none	0.00187477
none	0.00206224
none	0.00330679
none	0.00243193
none	0.00131146
none	0.00126414
none	0.00119243
none	0.00122276
none	0.00123371
none	0.00161263
none	0.00204848
none	0.00199736
none	0.00162249
none	0.00198217
none	0.00200324
none	0.00179802
none	0.00127881
none	0.00141919
none	0.00100496
none	0.00173017
none	0.0018699
none	0.00217112
none	0.00143395
none	0.00192205
none	0.00183458
none	0.00186062
none	0.00180874
none	0.00188424
none	0.00183579
none	0.00198925
none	0.00241003
none	0.00241836
none	0.00210552
none	0.0019366
none	0.000986169
none	0.00076893
none	0.00152045
none	0.00108164
none	0.00119826
none	0.00248669
none	0.00265656
none	0.00319648
none	0.00302108
none	0.00189907
none	0.0020075
none	0.00190406
none	0.00195806
none	0.0019828
none	0.00207254
none	0.00219712
none	0.00125536
none	0.0013837
none	0.00150839
none	0.0017713
none	0.0018233
none	0.00178148
none	0.00132529
none	0.00125809
none	0.00196188
none	0.00130229
none	0.00178679
none	0.00154493
none	0.00155333
none	0.00169215
none	0.00201534
none	0.0009655
none	0.00113899
none	0.00210237
none	0.00226697
none	0.00235336
none	0.00224877
none	0.0016913
none	0.00114185
none	0.00301833
none	0.00302681
none	0.00210844
none	0.00124368
none	0.0015689
none	0.00169968
none	0.00158214
none	0.00205751
none	0.00230262
none	0.00258976
none	0.00281161
none	0.00182785
none	0.00147442
none	0.00179127
none	0.00174969
none	0.00187678
none	0.00187193
none	0.00185299
none	0.00177013
none	0.00170982
none	0.00272059
none	0.00277733
none	0.00171198
none	0.00127641
none	0.00119539
none	0.00151401
none	0.00157069
none	0.00142178
none	0.00142563
none	0.00139992
none	0.00139368
none	0.00111388
none	0.00112848
none	0.000817197
none	0.00176457
none	0.00184507
