type	DRC150
moderate	0.00241984
moderate	0.00134523
moderate	0.00150874
moderate	0.00382658
moderate	0.00093924
moderate	0.00209533
moderate	0.00175912
moderate	0.00231671
moderate	0.00176155
moderate	0.00132795
moderate	0.00176817
moderate	0.0017043
moderate	0.00148506
moderate	0.00148807
moderate	0.00164725
moderate	0.00129031
moderate	0.00148038
moderate	0.00102583
moderate	0.001535
moderate	0.00202186
moderate	0.00156502
moderate	0.00137691
moderate	0.00213107
moderate	0.00178087
moderate	0.00250263
moderate	0.00183728
moderate	0.00155187
moderate	0.00166815
moderate	0.00140235
moderate	0.00163931
moderate	0.00154657
moderate	0.00214676
moderate	0.00140036
moderate	0.00160005
moderate	0.00105883
moderate	0.00119289
moderate	0.00163417
moderate	0.0013013
moderate	0.00132949
moderate	0.00174674
moderate	0.00201174
moderate	0.00119637
moderate	0.00175615
moderate	0.00189254
moderate	0.00182481
moderate	0.00172581
moderate	0.00180525
moderate	0.0015454
moderate	0.00108402
moderate	0.00160261
moderate	0.0015728
moderate	0.00177528
moderate	0.0016971
moderate	0.00100296
moderate	0.000990601
moderate	0.000947879
moderate	0.000935431
moderate	0.00181682
moderate	0.00166535
moderate	0.00161331
moderate	0.00145017
moderate	0.000818402
moderate	0.00117781
moderate	0.00138673
moderate	0.00110829
moderate	0.0015877
moderate	0.00159548
moderate	0.00222614
moderate	0.00134835
moderate	0.00305319
moderate	0.0026806
moderate	0.0026313
moderate	0.00224365
moderate	0.000301045
none	0.000897083
none	0.000938321
none	0.00158708
none	0.00221829
none	0.0017991
none	0.00168546
none	0.00162538
none	0.00162567
none	0.00266465
none	0.00206595
none	0.00208926
none	0.00172648
none	0.00125165
none	0.00163646
none	0.00167875
none	0.00171511
none	0.00215768
none	0.0022456
none	0.00238176
none	0.0023039
none	0.0013607
none	0.00163083
none	0.00291782
none	0.00281712
none	0.00175348
none	0.0023484
none	0.00248447
none	0.00256413
none	0.00248499
none	0.00240235
none	0.00147739
none	0.00238427
none	0.00204005
none	0.00178387
none	0.00187128
none	0.00201484
none	0.00207633
none	0.00154716
none	0.00153709
none	0.00204364
none	0.00144952
none	0.0016179
none	0.00169297
none	0.00129149
none	0.00123689
none	0.00134447
none	0.0016215
none	0.00180586
none	0.0017246
none	0.0023835
none	0.00195879
none	0.00179062
none	0.00219198
none	0.0027284
none	0.00190507
none	0.00132981
none	0.00169143
none	0.00106858
none	0.00161934
none	0.00102569
none	0.00124726
none	0.001341
none	0.00174431
none	0.00186872
none	0.00098976
none	0.00250804
none	0.00203938
none	0.00175051
none	0.00151963
none	0.00148168
none	0.00131454
none	0.00154376
none	0.00168036
none	0.00185657
none	0.00194637
none	0.00237003
none	0.00193162
none	0.00195133
none	0.00226433
none	0.00258412
none	0.00243193
none	0.00231125
none	0.00151673
none	0.001572
none	0.00136386
none	0.00126414
none	0.00117493
none	0.00115687
none	0.00119243
none	0.00123371
none	0.001528
none	0.00192921
none	0.00166635
none	0.00163229
none	0.0028892
none	0.00233555
none	0.00204499
none	0.00191057
none	0.00200324
none	0.00119634
none	0.0013163
none	0.00163079
none	0.00162179
none	0.00157513
none	0.00133397
none	0.00144188
none	0.00100496
none	0.00158025
none	0.00179608
none	0.00191323
none	0.00166875
none	0.00158302
none	0.00163172
none	0.00213529
none	0.00138702
none	0.00195224
none	0.00192995
none	0.00262789
none	0.0026179
none	0.00275903
none	0.0027605
none	0.00263349
none	0.00258491
none	0.00210376
none	0.0024246
none	0.00244659
none	0.0019366
none	0.00145183
none	0.00124624
none	0.00127464
none	0.00157266
none	0.00184514
none	0.00190331
none	0.00161228
none	0.00170667
none	0.00179959
none	0.00249182
none	0.00242479
none	0.00107277
none	0.000973978
none	0.00216932
none	0.00236179
none	0.00248669
none	0.00317995
none	0.00182134
none	0.00168433
none	0.00190125
none	0.00204463
none	0.00219712
none	0.00213831
none	0.00099617
none	0.00158211
none	0.00160383
none	0.0013837
none	0.00176563
none	0.00186586
none	0.00165116
none	0.00173324
none	0.00173182
none	0.00164971
none	0.00157248
none	0.00196188
none	0.00181156
none	0.00131645
none	0.00183742
none	0.00151673
none	0.00181815
none	0.00192671
none	0.00170991
none	0.00142941
none	0.00125835
none	0.00127924
none	0.00125551
none	0.000921427
none	0.00113899
none	0.00151818
none	0.00161942
none	0.0014641
none	0.00167576
none	0.00181056
none	0.00209982
none	0.002137
none	0.00226697
none	0.00235336
none	0.00232427
none	0.00224877
none	0.00205723
none	0.00203531
none	0.00198831
none	0.0016913
none	0.00156628
none	0.00144164
none	0.001468
none	0.00182464
none	0.00210844
none	0.00190122
none	0.0016927
none	0.00087546
none	0.00172621
none	0.00124368
none	0.00137884
none	0.0015689
none	0.00162842
none	0.00169968
none	0.00177319
none	0.00216655
none	0.00230262
none	0.00247041
none	0.00266989
none	0.00273573
none	0.00182785
none	0.00139289
none	0.00166972
none	0.00179127
none	0.00174928
none	0.00176868
none	0.00187678
none	0.00183074
none	0.0017986
none	0.00187506
none	0.00172121
none	0.00170982
none	0.00160551
none	0.00186969
none	0.00188944
none	0.00132894
none	0.00127641
none	0.00122484
none	0.00108106
none	0.00153433
none	0.00114311
none	0.00112737
none	0.00113823
none	0.00125239
none	0.00103846
none	0.00174403
none	0.00185333
none	0.00194835
none	0.000809177
none	0.00127451
none	0.0015844
none	0.00176457
none	0.00184507
none	0.00187666
none	0.00173325
none	0.00233458
none	0.00299539
none	0.00228865
none	0.00207433
none	0.00208665
none	0.001311
none	0.00139515
none	0.00144518
none	0.0015515
none	0.00196704
none	0.00162577
none	0.00165978
none	0.0019964
none	0.001971
none	0.00195968
none	0.00175146
none	0.00181066
none	0.00147761
none	0.00125279
none	0.00141588
none	0.0012985
none	0.00127855
none	0.00137146
none	0.00164391
none	0.00149818
none	0.00206063
none	0.00195446
none	0.00139575
none	0.00131552
none	0.00127593
none	0.00156951
none	0.00172741
none	0.00175013
none	0.00159417
none	0.00158974
none	0.00134304
none	0.00134581
