gene_name	fg_pleio_degree_finemap	pleio_degree	pleio_degree_maxindep	pleio_degree_locuswide	fg_pleio_degree
CREB3L1	1.0	1.0	1.0	1.0	1.0
DGKZ	2.0			1.0	
AMBRA1	7.0	1.0	2.0	1.0	2.0
ARHGAP1	2.0	1.0	1.0	2.0	1.0
F2	3.0	1.0	1.0	2.0	3.0
LRP4	1.0	3.0	2.0	4.0	4.0
C11orf49	1.0	4.0	6.0	6.0	3.0
ACP2	1.0			7.0	1.0
MADD	2.0	4.0	4.0	10.0	
MYBPC3	1.0	1.0		6.0	1.0
SPI1	2.0	3.0	1.0	8.0	2.0
CELF1	3.0	5.0	3.0	9.0	2.0
AC090559.1	2.0			6.0	
NDUFS3	1.0	1.0		5.0	
MTCH2	1.0	4.0	4.0	7.0	2.0
AGBL2	1.0	8.0	3.0	9.0	3.0
PTPRJ	2.0	6.0	4.0	6.0	1.0
OR4B2P	1.0				
OR4X2	1.0				2.0
OR4S1	1.0			1.0	
OR4C7P	1.0			2.0	
OR4A50P	1.0			1.0	
OR8L1P	2.0			1.0	
OR5M6P	1.0				
OR5M1	3.0			1.0	
OR9G3P	1.0			1.0	
OR5G1P	3.0				
OR5G5P	1.0				
OR5AK2	1.0				
OR5AO1P	2.0				
APLNR	1.0				1.0
P2RX3	1.0	1.0	1.0	1.0	
SLC43A3	1.0	1.0		2.0	3.0
SLC43A1	1.0				
SERPING1	2.0	1.0		3.0	1.0
MED19	1.0			2.0	
OR5AZ1P	1.0			1.0	2.0
CYCSP26	1.0				
OR9Q1	3.0				1.0
EIF4A2P3	1.0				
OR10Q2P	1.0	1.0	1.0	1.0	
ZFP91	1.0			2.0	
CNTF	1.0			1.0	
GLYAT	1.0	1.0	1.0	1.0	3.0
GLYATL2	1.0				
GLYATL1P2	1.0				
GLYATL1P4	1.0				
FAM111A	1.0				
TCN1	1.0				
MS4A3	1.0				1.0
AP001257.1	1.0			1.0	
MS4A6A	1.0	1.0	1.0	1.0	5.0
MS4A4A	1.0				
MS4A8	2.0				
LRRC10B	1.0	1.0		1.0	4.0
SYT7	2.0			1.0	
MYRF	2.0	1.0	1.0	12.0	1.0
TMEM258	1.0	3.0	2.0	12.0	1.0
FEN1	1.0	1.0		12.0	1.0
FADS2	9.0	11.0	12.0	12.0	12.0
FADS1	5.0	10.0	11.0	12.0	9.0
RAB3IL1	1.0	2.0	1.0	3.0	1.0
BEST1	1.0	1.0		2.0	2.0
SCGB1D1	1.0				2.0
SCGB2A1	1.0				
SCGB1D2	1.0				2.0
TUT1	1.0			1.0	
HNRNPUL2-BSCL2	2.0				
TAF6L	1.0				
SNHG1	1.0				1.0
SLC3A2	2.0				
SLC22A6	1.0				
NAA40	2.0				
MACROD1	1.0	1.0		1.0	3.0
PRDX5	1.0			2.0	
CCDC88B	4.0			1.0	6.0
SLC22A11	1.0	1.0		1.0	
NRXN2	2.0			1.0	
CAPN1	1.0			1.0	
POLA2	1.0				
LTBP3	2.0			5.0	1.0
SSSCA1-AS1	1.0			4.0	2.0
EHBP1L1	3.0	2.0		6.0	6.0
RELA	1.0			4.0	1.0
RNASEH2C	3.0			4.0	
AP5B1	1.0			3.0	1.0
AP001266.1	4.0			3.0	
OVOL1	5.0	3.0	2.0	3.0	13.0
CFL1	2.0	1.0		6.0	
CATSPER1	1.0			1.0	1.0
PACS1	2.0	1.0		2.0	1.0
TMEM151A	1.0				3.0
RNU1-84P	1.0				
NPAS4	1.0				1.0
ACTN3	1.0				3.0
RBM14-RBM4	1.0	1.0		1.0	
SPTBN2	1.0				
KDM2A	2.0				
NDUFV1	2.0				
DOC2GP	1.0				
CPT1A	3.0	2.0	1.0	2.0	1.0
MRPL21	1.0				
TPCN2	6.0	2.0	2.0	4.0	1.0
MYEOV	1.0	3.0	2.0	3.0	2.0
AP000439.1	1.0	1.0		2.0	4.0
AP000439.3	1.0	1.0		2.0	6.0
ANO1	1.0	1.0		1.0	1.0
PPFIA1	1.0				
ARAP1	1.0	3.0	3.0	3.0	3.0
P2RY2	1.0	2.0		2.0	2.0
ARHGEF17	2.0	1.0		1.0	1.0
RELT	1.0				1.0
POLD3	4.0	1.0		1.0	4.0
