HPO_term	cluster_label	HPO_label
HP:0007408	32	Tegumentary leishmaniasis susceptibility
HP:0006335	5196	Persistence of primary teeth
HP:0009487	3860	Ulnar deviation of the hand
HP:0002419	136	Molar tooth sign on MRI
HP:0031103	2915	Decreased cirrculating antimullerian hormone circulation
HP:0100337	3207	Bilateral cleft palate
HP:0100251	4952	Multiple central nervous system lipomas
HP:0025201	5344	Abnormal circulating apolipoprotein concentration
HP:0004629	595	Small cervical vertebral bodies
HP:0031643	2147	Fusiform ascending tubular aorta aneurysm
HP:0005035	3402	Shortening of all phalanges of the toes
HP:0002664	2646	Neoplasm
HP:0034677	3087	Ankle contracture
HP:0001321	3219	Cerebellar hypoplasia
HP:0032755	2469	Focal impaired awareness autonomic seizure
HP:0100962	569	Excessive shyness
HP:0025517	3821	Hypoplastic hippocampus
HP:0011782	2738	Thyroid crisis
HP:0007688	1465	Undetectable light- and dark-adapted electroretinogram
HP:0001384	3242	Abnormal hip joint morphology
HP:0006563	1575	Malformation of the hepatic ductal plate
HP:0001853	901	Bifid distal phalanx of toe
HP:0009473	2880	Joint contracture of the hand
HP:0000812	2391	Abnormal internal genitalia
HP:0032219	3693	Increased proportion of CD4-positive T cells
HP:0200141	1806	Small, conical teeth
HP:0040195	1160	Decreased head circumference
HP:0009943	4754	Complete duplication of thumb phalanx
HP:0010176	3294	Curved toe phalanx
HP:0005957	523	Breathing dysregulation
HP:0020152	1948	Distal joint hypermobility
HP:0025100	2939	Abnormal hippocampus morphology
HP:4000202	3277	Reduced alpha-N-acetylgalactosaminidase activity in cultured fibroblasts
HP:0003995	1077	Abnormality of the radial head
HP:0000003	3619	Multicystic kidney dysplasia
HP:0004484	3340	Craniofacial asymmetry
HP:0009816	3039	Lower limb undergrowth
HP:0012511	2742	Temporal optic disc pallor
HP:0001027	1350	Soft, doughy skin
HP:0004386	754	Gastrointestinal inflammation
HP:0010627	2372	Anterior pituitary hypoplasia
HP:0006442	3389	Hypoplasia of proximal fibula
HP:0010941	2146	Aplasia of the nasal bone
HP:0010707	3434	1-4 finger syndactyly
HP:0006659	4809	Internally rotated shoulders
HP:0008822	5433	Hypoplastic ischiopubic ramus
HP:0007229	2285	Intracerebral periventricular calcifications
HP:0004605	2732	Absent vertebral body mineralization
HP:0007476	2226	Anhidrotic ectodermal dysplasia
HP:0100268	2070	Upper lip pit
HP:0000339	1099	Pugilistic facies
HP:0006144	3330	Shortening of all proximal phalanges of the fingers
HP:0003466	127	Paradoxical increased cortisol secretion on dexamethasone suppression test
HP:0031445	1086	Oral mucosa nodule
HP:0000992	223	Cutaneous photosensitivity
HP:0410135	2430	Cold urticaria
HP:0005424	3916	Absent specific antibody response
HP:0011232	3206	Infra-orbital fold
HP:0034383	124	Elevated circulating biliverdin concentration
HP:0008003	1618	Jerky ocular pursuit movements
HP:0000704	2967	Periodontitis
HP:0001681	2158	Angina pectoris
HP:0011509	2827	Macular hyperpigmentation
HP:0000843	1550	Hyperparathyroidism
HP:6000419	3446	Elevated circulating proinsulin concentration
HP:0002363	707	Abnormal brainstem morphology
HP:0008944	3342	Distal lower limb amyotrophy
HP:0012108	2205	Open angle glaucoma
HP:6000100	4960	Hyperpolarized transepithelial nasal potential difference
HP:0010527	2000	Astereognosis
HP:0006477	4842	Abnormal alveolar ridge morphology
HP:0011730	73	Abnormal central sensory function
HP:0006237	1330	Prominent interphalangeal joints
HP:0009758	5020	Pyramidal skinfold extending from the base to the top of the nails
HP:0001087	2172	Developmental glaucoma
HP:6000536	1374	Elevated urinary coproporphyrin level
HP:0003612	581	Positive ferric chloride test
HP:0034914	3124	Oocyte maturation arrest
HP:0030183	1670	Impaired visually enhanced vestibulo-ocular reflex
HP:0005230	1607	Biliary tract obstruction
HP:0007338	1471	Hypermetric saccades
HP:0004385	4009	Protracted diarrhea
HP:0004785	674	Malrotation of colon
HP:0005916	1912	Abnormal metacarpal morphology
HP:0001133	1570	Constriction of peripheral visual field
HP:6000659	3265	Elevated muscle fiber laminin alpha 5 expression
HP:0009751	1775	Aplasia of the pectoralis major muscle
HP:0033596	2990	Elevated urinary 3-methylcrotonylglycine level
HP:0003065	2608	Patellar hypoplasia
HP:0032070	1801	Leptomeningeal enhancement
HP:0005313	4549	Arterial fibromuscular dysplasia
HP:0000751	2596	Personality changes
HP:0031947	1250	Tongue tremor
HP:0000073	2273	Ureteral duplication
HP:0002245	1978	Meckel diverticulum
HP:0031456	184	Ectopic pregnancy
HP:0008447	2498	Hypoplastic coccygeal vertebrae
HP:0008430	659	Anterior beaking of lumbar vertebrae
HP:0000815	2464	Hypergonadotropic hypogonadism
HP:0007178	2889	Motor polyneuropathy
HP:0002831	2383	Long coccyx
HP:0032860	2523	Generalized non-convulsive status epilepticus without coma
HP:0005768	2127	2-4 toe cutaneous syndactyly
HP:0500046	3016	Seborrhoeic blepharitis
HP:0001909	855	Leukemia
HP:0008110	3676	Equinovarus deformity
HP:0011968	2933	Feeding difficulties
HP:0006252	1429	Interphalangeal joint erosions
HP:0006406	1375	Club-shaped proximal femur
HP:0006040	517	Long second metacarpal
HP:0000962	2505	Hyperkeratosis
HP:0010479	4697	Patent urachus
HP:0012026	2014	Hyperornithinemia
HP:0005275	2057	Cartilaginous ossification of nose
HP:0000482	2901	Microcornea
HP:0032515	639	Deep dermatophytosis
HP:0011149	163	Absence seizure with eyelid myoclonia
HP:0003348	813	Hyperalaninemia
HP:0008608	3676	Hypertrophic auricular cartilage
HP:0012490	1571	Panniculitis
HP:0001763	1147	Pes planus
HP:0031454	2343	Apocrine hidrocystoma
HP:0000546	3554	Retinal degeneration
HP:0003481	4054	Segmental peripheral demyelination/remyelination
HP:0004482	2417	Relative macrocephaly
HP:0002169	1977	Clonus
HP:0034302	3859	Megalopapilla
HP:0200037	3698	Skin vesicle
HP:0006834	4188	Developmental stagnation at onset of seizures
HP:0003388	1706	Easy fatigability
HP:0004935	878	Pulmonary artery atresia
HP:0025025	347	Rectovestibular fistula
HP:0010575	4321	Dysplasia of the femoral head
HP:0025461	5273	Abnormal cell morphology
HP:0004450	2696	Preauricular skin furrow
HP:0010315	1753	Aplasia/Hypoplasia of the diaphragm
HP:0033681	2929	Oligodendroglioma
HP:0010102	1768	Aplasia of the distal phalanx of the hallux
HP:0001876	2787	Pancytopenia
HP:0009461	303	Short 3rd finger
HP:0030196	1551	Fatigable weakness of respiratory muscles
HP:0005186	1989	Synovial lining hyperplasia
HP:0011240	3647	Prominent stem of antihelix
HP:0034823	1804	Decreased CSF copper concentration
HP:0025116	1728	Fetal distress
HP:0030766	2601	Ear pain
HP:0002590	3094	Paralytic ileus
HP:0002186	3200	Apraxia
HP:0031394	306	Abnormal CD4:CD8 ratio
HP:0008760	4098	Violent behavior
HP:0005561	883	Abnormal bone marrow cell morphology
HP:0005428	2944	Severe recurrent varicella
HP:0031388	2472	Megakaryocyte nucleus hyperlobulation
HP:0008922	9	Childhood-onset short-trunk short stature
HP:0003355	1271	Aminoaciduria
HP:0031490	3247	Hemangioma of the lip
HP:0008488	2901	Anterior rounding of vertebral bodies
HP:0002720	1720	Decreased circulating IgA level
HP:0003575	3935	Increased intracellular sodium
HP:0500193	3337	Increased CSF isoleucine concentration
HP:0009932	2824	Single naris
HP:0011507	3131	Macular flecks
HP:0004859	3618	Amegakaryocytic thrombocytopenia
HP:0012699	2296	Anomaly of lower limb diaphyses
HP:0003570	1358	Molybdenum cofactor deficiency
HP:0011355	725	Localized skin lesion
HP:0009023	4049	Abdominal wall muscle weakness
HP:0000625	4901	Eyelid coloboma
HP:0011918	1726	Clinodactyly of the 4th toe
HP:0000691	1772	Microdontia
HP:0002686	1339	Pregnancy history
HP:0200160	3814	Agenesis of maxillary incisor
HP:0001840	2418	Metatarsus adductus
HP:0032052	4807	Focal cortical dysplasia type IIa
HP:0007340	3263	Lower limb muscle weakness
HP:0011929	354	Hypersegmentation of proximal phalanx of third finger
HP:0011379	4244	Dilated vestibule of the inner ear
HP:0012637	2366	Renal calcium wasting
HP:0002108	1083	Spontaneous pneumothorax
HP:0004452	3370	Abnormality of the middle ear ossicles
HP:0001071	848	Angiokeratoma corporis diffusum
HP:0031854	189	Left Isomerism
HP:0000179	2134	Thick lower lip vermilion
HP:0011490	4159	Abnormal Descemet membrane morphology
HP:0000048	200	Bifid scrotum
HP:0007464	3876	Sparse facial hair
HP:0011510	3056	Drusen
HP:0025236	3011	Somnambulism
HP:0005462	2267	Calcification of falx cerebri
HP:0100333	3169	Unilateral cleft lip
HP:0009088	1974	Speech articulation difficulties
HP:0006994	3371	Diffuse leukoencephalopathy
HP:0006768	5532	Localized neuroblastoma
HP:0034283	3037	Increased fecal protoporphyrin concentration
HP:0011286	2970	Total colonic aganglionosis
HP:0410291	3869	Negativism
HP:0000375	2313	Abnormal cochlea morphology
HP:0034311	2557	Hypoplastic optic chiasm
HP:0009603	1939	Deviation of the thumb
HP:0001098	3261	Abnormal fundus morphology
HP:0000270	3475	Delayed cranial suture closure
HP:0001350	1611	Slurred speech
HP:0011672	3106	Cardiac myxoma
HP:0410297	1012	Partial absence of specific antibody response to tetanus vaccine
HP:0002185	196	Neurofibrillary tangles
HP:0012608	4177	Hypermagnesiuria
HP:0040253	48	Increased size of the clitoris
HP:0005328	4796	Progeroid facial appearance
HP:6000335	3259	Elevated urinary quinolinic acid level
HP:0010701	1895	Abnormal immunoglobulin level
HP:0003489	919	Acute episodes of neuropathic symptoms
HP:0003862	5518	Absent humerus
HP:0007271	136	Occipital myelomeningocele
HP:0032448	2868	Achlorhydria
HP:0030743	820	Glial remnants anterior to the optic disc
HP:0500142	3128	Hypolysinemia
HP:0003457	2669	EMG abnormality
HP:0002914	470	Hyperchloriduria
HP:0007505	174	Progressive hyperpigmentation
HP:0006206	1631	Hypersegmentation of proximal phalanx of second finger
HP:0008724	1787	Hypoplasia of the ovary
HP:0033085	3986	Reduced antral follicle count
HP:0500007	1790	Iris flocculi
HP:0007924	30	Slow decrease in visual acuity
HP:0034521	3257	Periorificial hyperkeratosis
HP:0001699	2250	Sudden death
HP:0040012	4713	Chromosome breakage
HP:0003185	4834	Short greater sciatic notch
HP:0032553	2691	Weak pulse
HP:0000700	4470	Periapical bone loss
HP:0005423	1356	Dysfunctional alternative complement pathway
HP:0001060	4134	Axillary pterygium
HP:0011760	655	Pituitary growth hormone cell adenoma
HP:4000208	1425	Reduced erythrocyte galactose-1-phosphate uridylyltransferase activity
HP:0012493	2537	Middle cerebral artery stenosis
HP:0000695	2576	Natal tooth
HP:0045025	2234	Narrow palpebral fissure
HP:0011840	3578	Abnormality of T cell physiology
HP:0025630	4471	Argininosuccinic aciduria
HP:0031177	2109	Finger flexor weakness
HP:0001336	3277	Myoclonus
HP:4000073	1562	Pronoun reversal
HP:0000723	4752	Restrictive behavior
